County FIPS,Original County FIPS,County,State,Premature Deaths 2015-2019,Population 2015-2019,Premature Mortality Crude Rate,Premature Mortality Age-Adjusted Rate,Age-Adjusted Rate Unreliable,Smoking Rate,Physical Inactivity Rate,Poor Physical Health Rate,Poor Mental Health Rate,Insufficient Sleep Rate,Obesity Rate,Uninsured Rate,Diabetes Rate,High Blood Pressure Rate,COPD Rate,Coronary Heart Disease Rate,Stroke Rate,Median Household Income,Poverty Rate,Bachelor's Degree or Higher Rate,Unemployment Rate
01001,01001,"Autauga County, AL",AL,1333.0,259938.0,512.8,423.1,False,19.8,26.4,13.3,15.8,38.4,35.5,14.3,11.3,36.6,7.7,6.9,3.4,58731.0,15.1851716980445,26.571573848582975,3.676643884044308
01003,01003,"Baldwin County, AL",AL,4996.0,981133.0,509.2,358.9,False,18.5,23.5,11.6,14.8,36.4,29.4,13.6,9.5,33.1,7.1,6.0,3.0,58320.0,10.354072646433035,31.862459632590394,4.255062073965182
01005,01005,"Barbour County, AL",AL,788.0,117839.0,668.7,500.5,False,25.5,36.8,18.1,19.0,40.9,40.8,21.8,16.9,45.8,10.5,9.0,5.1,32525.0,30.66868894142838,11.578712981518592,9.1664867199309
01007,01007,"Bibb County, AL",AL,752.0,105384.0,713.6,567.6,False,23.1,31.2,15.1,17.1,40.1,38.4,17.3,12.6,40.8,9.1,7.6,3.8,47542.0,18.127181077937184,10.378525482434435,7.284987839929251
01009,01009,"Blount County, AL",AL,1764.0,268003.0,658.2,501.6,False,23.0,30.1,14.8,17.1,38.8,33.7,17.0,11.3,37.3,9.0,7.5,3.5,49358.0,13.551516425019262,13.093413083360558,3.364197530864198
01011,01011,"Bullock County, AL",AL,327.0,48078.0,680.1,545.2,False,24.9,38.1,17.9,18.2,44.7,45.6,22.7,18.5,47.7,9.9,8.8,5.5,37785.0,28.873671300081767,12.05464019152232,3.872690852437125
01013,01013,"Butler County, AL",AL,673.0,90333.0,745.0,580.2,False,22.8,35.6,16.9,18.5,42.0,41.4,18.6,15.3,44.4,9.6,8.0,4.6,40688.0,22.502558853633573,16.137202402489326,6.804559877776473
01015,01015,"Calhoun County, AL",AL,3881.0,532870.0,728.3,564.0,False,21.2,29.3,15.2,17.8,38.3,41.0,15.9,12.7,38.6,9.0,7.6,3.8,47255.0,17.90267343242904,18.48106386206199,8.07968372164434
01017,01017,"Chambers County, AL",AL,1106.0,155113.0,713.0,514.7,False,23.2,32.7,15.8,17.6,40.5,39.1,17.8,14.4,42.5,9.1,7.8,4.3,42289.0,17.252212790381535,13.296061204758502,3.9387873700523017
01019,01019,"Cherokee County, AL",AL,961.0,118250.0,812.7,539.0,False,23.6,30.9,15.6,18.1,37.9,38.7,16.3,12.0,36.4,9.7,7.9,3.7,41919.0,13.922021039458762,12.75299353608138,4.433591879728048
01021,01021,"Chilton County, AL",AL,1377.0,206199.0,667.8,522.5,False,23.4,33.0,15.7,17.8,38.7,40.1,18.2,13.0,39.1,9.6,8.0,3.8,47468.0,19.115818558600044,12.723823470678294,6.408202499198974
01023,01023,"Choctaw County, AL",AL,447.0,58316.0,766.5,525.5,False,23.3,34.0,16.3,18.3,41.7,42.7,18.2,14.6,43.5,9.5,7.9,4.5,35892.0,23.348017621145377,11.93053917890449,7.901125579342308
01025,01025,"Clarke County, AL",AL,728.0,110220.0,660.5,491.0,False,24.3,35.8,17.0,18.5,42.7,40.7,19.1,15.6,43.5,9.7,8.3,4.6,37404.0,23.209751142712037,12.224209898628503,12.203389830508476
01027,01027,"Clay County, AL",AL,452.0,60937.0,741.7,520.3,False,25.2,32.5,16.4,18.7,38.9,35.9,17.7,13.0,39.7,10.1,8.0,4.0,40845.0,17.947735458655835,10.561370123691722,5.408180729077529
01029,01029,"Cleburne County, AL",AL,532.0,68813.0,773.1,560.3,False,24.1,30.4,15.5,18.2,38.2,36.7,16.6,11.6,36.5,9.8,7.8,3.7,44741.0,17.283529090412454,15.41837610914989,5.949241924851681
01031,01031,"Coffee County, AL",AL,1294.0,240800.0,537.4,422.1,False,21.4,29.8,13.8,15.9,37.4,35.8,15.1,12.2,37.7,8.0,6.9,3.4,55637.0,15.069354395064638,22.792055081744255,5.739856288455746
01033,01033,"Colbert County, AL",AL,1756.0,249993.0,702.4,509.8,False,22.0,29.7,14.4,17.0,39.8,37.9,15.6,12.1,38.6,8.8,7.4,3.6,48065.0,15.466007963427222,18.14728304114582,4.352561685727451
01035,01035,"Conecuh County, AL",AL,478.0,56075.0,852.4,575.3,False,25.8,38.6,17.5,19.2,43.9,43.4,20.3,16.0,45.8,10.3,8.5,4.9,37837.0,17.59342180249125,12.77029321861202,9.242976624490671
01037,01037,"Coosa County, AL",AL,379.0,48785.0,776.9,519.4,False,24.6,33.2,16.1,17.9,41.2,40.6,18.1,14.0,41.4,9.5,8.0,4.2,38990.0,13.512991403457937,12.822375590265164,2.8663892741562647
01039,01039,"Covington County, AL",AL,1297.0,169257.0,766.3,546.6,False,23.4,31.4,15.4,17.5,37.7,37.6,15.8,12.4,36.7,9.1,7.7,3.7,42189.0,18.586992406734897,15.271235374563137,8.35909484357611
01041,01041,"Crenshaw County, AL",AL,475.0,64209.0,739.8,519.1,False,23.1,31.7,15.8,18.2,38.6,36.4,17.4,13.3,39.8,9.4,7.8,4.0,43163.0,15.158188357924098,17.40970072239422,3.424774237519169
01043,01043,"Cullman County, AL",AL,2522.0,383392.0,657.8,495.8,False,22.6,30.9,15.2,17.4,36.5,33.1,16.3,11.4,34.5,9.4,7.5,3.5,44918.0,14.869419218843827,13.865502546512836,5.088317666306186
01045,01045,"Dale County, AL",AL,1404.0,229133.0,612.7,486.3,False,21.5,30.2,14.8,16.9,40.8,43.6,16.3,12.7,37.8,8.6,7.4,3.7,47214.0,17.645949852322,18.138410576263094,7.977907333537895
01047,01047,"Dallas County, AL",AL,1461.0,182086.0,802.4,631.7,False,24.9,39.6,17.6,19.0,44.0,42.4,20.2,17.8,47.2,9.8,8.6,5.4,33845.0,29.066569812691327,14.709923664122137,11.048422096844194
01049,01049,"DeKalb County, AL",AL,2164.0,332778.0,650.3,512.8,False,25.1,33.5,17.5,19.4,38.8,35.2,20.4,13.3,38.4,10.9,8.7,4.1,40440.0,21.083078672446874,13.015211502396332,3.9503532309287706
01051,01051,"Elmore County, AL",AL,1998.0,384537.0,519.6,420.8,False,19.3,27.5,12.8,15.6,38.8,35.1,14.4,11.4,36.9,7.7,6.8,3.3,60891.0,11.508801231780993,25.06551619631683,4.610404108059835
01053,01053,"Escambia County, AL",AL,1311.0,172575.0,759.7,586.6,False,25.4,33.9,17.2,18.6,42.9,37.6,18.8,14.9,41.4,10.0,8.5,4.5,36275.0,22.150840447065036,12.467612823388375,10.99199443090846
01055,01055,"Etowah County, AL",AL,3618.0,474866.0,761.9,560.7,False,23.1,31.0,15.0,17.5,38.8,36.9,16.1,12.6,39.3,9.1,7.7,3.7,44637.0,17.390918240483096,17.79070413149711,5.535006312432169
01057,01057,"Fayette County, AL",AL,567.0,75240.0,753.6,523.2,False,24.3,32.6,16.0,18.3,39.8,34.8,16.7,12.3,37.9,9.7,8.0,3.9,39856.0,19.44135459152144,12.395352810524516,6.340526160212828
01059,01059,"Franklin County, AL",AL,917.0,146421.0,626.3,508.6,False,22.7,32.6,16.4,17.8,38.8,35.9,20.3,12.8,39.5,9.8,8.1,3.8,43514.0,19.410605228293537,13.985374771480805,4.7548401453898075
01061,01061,"Geneva County, AL",AL,905.0,121267.0,746.3,534.5,False,25.2,34.9,17.2,19.0,38.0,42.7,17.9,13.3,39.2,10.3,8.4,4.1,41732.0,22.010577954928713,12.491961414790998,5.412110631259763
01063,01063,"Greene County, AL",AL,296.0,37863.0,781.8,579.6,False,26.8,39.3,20.0,20.2,47.8,46.0,23.4,20.4,50.2,10.9,9.2,6.3,24145.0,38.0975491385586,10.115656827205248,11.488732914665682
01065,01065,"Hale County, AL",AL,511.0,68306.0,748.1,570.4,False,24.0,36.8,17.3,18.6,43.3,45.9,19.2,16.7,46.1,9.7,8.3,5.0,34046.0,24.181256436663233,14.222356617276484,10.854003662393874
01067,01067,"Henry County, AL",AL,554.0,78514.0,705.6,466.7,False,23.1,30.7,15.1,17.4,39.7,35.8,16.9,12.9,40.0,8.9,7.4,3.9,50017.0,13.825214899713467,17.06114398422091,5.88875288997688
01069,01069,"Houston County, AL",AL,2677.0,485547.0,551.3,430.7,False,22.4,31.9,15.1,17.3,39.8,34.8,16.2,13.8,38.1,8.7,7.6,3.8,47580.0,18.2343967248571,21.706671837560076,6.417529577999452
01071,01071,"Jackson County, AL",AL,1901.0,239178.0,794.8,553.2,False,23.9,33.3,16.8,18.8,39.6,36.5,16.8,12.3,37.5,10.2,8.4,3.9,41769.0,18.58434674150296,13.986864509851618,5.132149349741295
01073,01073,"Jefferson County, AL",AL,18519.0,3084382.0,600.4,497.6,False,18.5,27.5,13.3,15.1,39.7,34.6,14.5,12.2,38.3,7.4,6.8,3.7,53901.0,16.023557264729487,33.379952550678944,6.4725345828439655
01075,01075,"Lamar County, AL",AL,484.0,62719.0,771.7,543.2,False,24.4,31.1,16.3,18.7,38.8,36.2,16.8,13.1,39.1,10.1,8.2,4.0,38364.0,20.647093193105466,11.934532886042494,8.847557795932556
01077,01077,"Lauderdale County, AL",AL,2496.0,423780.0,589.0,434.6,False,20.0,27.5,13.8,16.4,38.5,35.1,14.4,11.1,35.6,8.2,6.9,3.3,48094.0,14.582826024395104,23.500927585447915,4.7138126773888365
01079,01079,"Lawrence County, AL",AL,1141.0,153443.0,743.6,549.7,False,24.2,29.9,15.9,18.4,38.5,35.5,16.9,12.5,39.0,9.7,7.8,3.9,44886.0,18.031936005862057,12.567555974950672,5.267564893050164
01081,01081,"Lee County, AL",AL,2890.0,771288.0,374.7,364.5,False,19.3,26.2,13.6,15.8,38.9,33.8,13.8,12.1,37.0,7.6,7.0,3.5,51463.0,19.59424210221235,35.31296687445263,5.173179114510012
01083,01083,"Limestone County, AL",AL,2087.0,446367.0,467.6,374.0,False,20.3,27.6,13.6,15.8,38.7,32.8,14.9,11.5,37.8,8.0,6.9,3.3,59686.0,13.572566738698622,25.736253070880473,6.242044113222395
01085,01085,"Lowndes County, AL",AL,406.0,46594.0,871.4,690.0,False,26.3,37.1,18.5,19.3,46.4,45.8,21.3,18.5,49.3,10.2,8.7,5.6,30036.0,26.81159420289855,14.684225431888985,9.90281061203047
01087,01087,"Macon County, AL",AL,699.0,86150.0,811.4,610.6,False,22.5,35.4,16.5,17.7,44.5,48.1,18.6,17.7,49.3,8.8,7.9,5.3,33370.0,24.420808117855614,20.36067481093659,11.334253796912265
01089,01089,"Madison County, AL",AL,7841.0,1697544.0,461.9,383.6,False,17.1,25.6,11.5,14.0,37.8,33.1,12.8,11.0,35.4,6.5,6.3,3.1,65449.0,12.47945500504415,42.757103648692286,5.013745114041493
01091,01091,"Marengo County, AL",AL,678.0,88603.0,765.2,580.7,False,23.1,33.6,16.3,17.9,43.3,44.7,18.6,15.6,43.9,9.3,7.9,4.7,33241.0,21.903862300587743,16.109074243813016,7.970128988458927
01093,01093,"Marion County, AL",AL,1067.0,135693.0,786.3,547.1,False,24.2,31.5,16.0,18.4,38.4,34.9,16.5,11.9,39.1,9.9,8.0,3.8,35930.0,17.481113455386918,12.76325686348251,5.456721180694057
01095,01095,"Marshall County, AL",AL,2924.0,444734.0,657.5,515.3,False,23.0,31.3,15.9,17.8,37.9,38.8,17.7,12.4,36.5,9.7,8.1,3.7,45983.0,20.308008866921927,19.36830584004378,4.271896829661472
01097,01097,"Mobile County, AL",AL,11902.0,1939716.0,613.6,497.0,False,20.8,29.2,14.4,16.5,40.5,37.0,16.6,12.7,39.0,8.2,7.7,4.0,47583.0,18.78060851387586,23.19949217825404,5.831853966232659
01099,01099,"Monroe County, AL",AL,675.0,97314.0,693.6,529.2,False,25.5,37.0,17.7,19.0,42.7,42.2,18.9,15.8,44.3,10.2,8.5,4.8,30441.0,27.942296705389452,13.473298002445985,15.4312047399605
01101,01101,"Montgomery County, AL",AL,5569.0,1063498.0,523.6,448.4,False,19.9,29.9,14.5,16.0,42.8,36.8,16.7,14.8,41.5,7.8,7.4,4.2,50124.0,19.352602948351414,33.37583848044099,6.5836200199755845
01103,01103,"Morgan County, AL",AL,3319.0,553880.0,599.2,461.9,False,20.8,27.3,13.9,16.5,36.4,37.2,16.3,11.6,37.5,8.4,7.2,3.5,52156.0,14.636981325584378,22.401125148524457,5.080375267460361
01105,01105,"Perry County, AL",AL,334.0,42510.0,785.7,639.8,False,27.3,40.8,20.5,20.6,45.0,46.3,22.6,20.3,49.3,11.5,9.7,6.2,23447.0,30.845536136041567,22.77749447560768,10.13631597343586
01107,01107,"Pickens County, AL",AL,574.0,93119.0,616.4,458.0,False,23.6,34.2,16.6,18.0,41.8,41.9,19.5,15.2,42.4,9.6,8.2,4.5,39848.0,22.71695666270399,14.12211107278372,10.25706612098734
01109,01109,"Pike County, AL",AL,868.0,155715.0,557.4,510.8,False,21.5,31.8,15.7,17.3,41.3,40.8,16.8,14.1,39.9,8.9,7.8,4.2,37446.0,24.431331493290187,23.73302932946419,6.1380559468705975
01111,01111,"Randolph County, AL",AL,773.0,103726.0,745.2,531.1,False,23.1,31.5,15.6,17.8,38.4,36.2,17.1,12.9,38.1,9.4,7.7,3.9,43395.0,16.92940060526672,16.525101419878297,4.15573053368329
01113,01113,"Russell County, AL",AL,1824.0,274595.0,664.3,567.7,False,22.3,32.8,15.6,17.5,42.7,38.2,18.3,14.4,43.2,8.8,7.6,4.3,42443.0,20.69965720312912,17.823741007194243,6.437938275028723
01115,01115,"St. Clair County, AL",AL,2506.0,413645.0,605.8,466.5,False,21.5,29.8,14.1,16.8,37.4,37.4,14.7,11.1,37.7,8.6,7.1,3.3,58308.0,12.20844250363901,16.08491794738213,5.3370372191356505
01117,01117,"Shelby County, AL",AL,3648.0,1006319.0,362.5,296.4,False,15.0,22.8,11.0,13.8,32.6,32.3,11.8,9.4,35.7,6.2,5.8,2.7,77799.0,7.484500399376212,42.92944226312858,3.6201421715440407
01119,01119,"Sumter County, AL",AL,425.0,58821.0,722.5,631.0,False,23.1,35.2,17.3,18.2,44.3,43.3,19.1,17.8,49.5,9.3,8.1,5.4,24320.0,31.76282858822541,21.562809099901088,9.72017673048601
01121,01121,"Talladega County, AL",AL,2825.0,373219.0,756.9,571.0,False,24.0,34.3,16.6,18.1,41.7,38.5,17.9,14.1,43.4,9.7,8.1,4.3,41325.0,19.05808599745077,14.96079867126248,8.494083795766171
01123,01123,"Tallapoosa County, AL",AL,1314.0,185926.0,706.7,488.8,False,23.9,31.1,15.4,17.7,40.0,34.9,16.6,13.1,41.0,9.5,7.8,4.0,45828.0,18.87538145980289,18.442808804548783,9.87183308494784
01125,01125,"Tuscaloosa County, AL",AL,4566.0,983838.0,464.1,429.2,False,20.0,26.2,13.6,15.6,41.8,35.6,14.3,12.4,39.2,7.6,6.8,3.6,53326.0,17.657909446618223,30.730845524423504,5.8140353346941644
01127,01127,"Walker County, AL",AL,2789.0,296622.0,940.3,703.9,False,24.7,30.9,15.9,18.9,40.7,36.4,16.7,12.1,38.7,10.1,8.1,3.8,43629.0,18.148359667491594,11.343843508552544,8.366174980295012
01129,01129,"Washington County, AL",AL,533.0,76611.0,695.7,521.4,False,24.3,33.2,16.6,18.6,39.6,34.7,17.7,14.1,40.1,10.0,8.2,4.3,41370.0,21.117366295435076,12.66525647805394,7.260342249543114
01131,01131,"Wilcox County, AL",AL,423.0,49500.0,854.5,669.2,False,25.8,37.6,18.6,19.6,44.1,45.8,21.7,18.3,48.7,10.4,8.8,5.6,31014.0,30.052163833075735,12.496485802642676,15.29977375565611
01133,01133,"Winston County, AL",AL,821.0,108190.0,758.9,513.5,False,25.0,31.4,16.1,18.6,38.8,35.8,17.3,12.2,38.0,10.2,8.2,3.8,35788.0,17.63223105186704,12.82933084635113,7.288807563281488
02013,02013,"Aleutians East Borough, AK",AK,26.0,16390.0,158.6,142.7,False,21.0,26.8,13.4,11.5,38.9,27.8,20.8,13.9,33.9,6.2,7.5,3.9,69250.0,13.765541740674957,11.50611620795107,3.876615256356815
02016,02016,"Aleutians West Census Area, AK",AK,62.0,28161.0,220.2,218.1,False,19.2,24.4,11.9,10.9,35.9,29.6,18.7,12.0,31.5,5.6,6.7,3.4,87466.0,6.839017235056839,17.034165253210563,2.096114519427403
