county_fips,county,premature_deaths_2015_2019,population_2015_2019,premature_mortality_crude_rate_2015_2019,premature_mortality_age_adjusted_rate_2015_2019
01001,"Autauga County, AL",1333.0,259938.0,512.8,423.1
01003,"Baldwin County, AL",4996.0,981133.0,509.2,358.9
01005,"Barbour County, AL",788.0,117839.0,668.7,500.5
01007,"Bibb County, AL",752.0,105384.0,713.6,567.6
01009,"Blount County, AL",1764.0,268003.0,658.2,501.6
01011,"Bullock County, AL",327.0,48078.0,680.1,545.2
01013,"Butler County, AL",673.0,90333.0,745.0,580.2
01015,"Calhoun County, AL",3881.0,532870.0,728.3,564.0
01017,"Chambers County, AL",1106.0,155113.0,713.0,514.7
01019,"Cherokee County, AL",961.0,118250.0,812.7,539.0
01021,"Chilton County, AL",1377.0,206199.0,667.8,522.5
01023,"Choctaw County, AL",447.0,58316.0,766.5,525.5
01025,"Clarke County, AL",728.0,110220.0,660.5,491.0
01027,"Clay County, AL",452.0,60937.0,741.7,520.3
01029,"Cleburne County, AL",532.0,68813.0,773.1,560.3
01031,"Coffee County, AL",1294.0,240800.0,537.4,422.1
01033,"Colbert County, AL",1756.0,249993.0,702.4,509.8
01035,"Conecuh County, AL",478.0,56075.0,852.4,575.3
01037,"Coosa County, AL",379.0,48785.0,776.9,519.4
01039,"Covington County, AL",1297.0,169257.0,766.3,546.6
01041,"Crenshaw County, AL",475.0,64209.0,739.8,519.1
01043,"Cullman County, AL",2522.0,383392.0,657.8,495.8
01045,"Dale County, AL",1404.0,229133.0,612.7,486.3
01047,"Dallas County, AL",1461.0,182086.0,802.4,631.7
01049,"DeKalb County, AL",2164.0,332778.0,650.3,512.8
01051,"Elmore County, AL",1998.0,384537.0,519.6,420.8
01053,"Escambia County, AL",1311.0,172575.0,759.7,586.6
01055,"Etowah County, AL",3618.0,474866.0,761.9,560.7
01057,"Fayette County, AL",567.0,75240.0,753.6,523.2
01059,"Franklin County, AL",917.0,146421.0,626.3,508.6
01061,"Geneva County, AL",905.0,121267.0,746.3,534.5
01063,"Greene County, AL",296.0,37863.0,781.8,579.6
01065,"Hale County, AL",511.0,68306.0,748.1,570.4
01067,"Henry County, AL",554.0,78514.0,705.6,466.7
01069,"Houston County, AL",2677.0,485547.0,551.3,430.7
01071,"Jackson County, AL",1901.0,239178.0,794.8,553.2
01073,"Jefferson County, AL",18519.0,3084382.0,600.4,497.6
01075,"Lamar County, AL",484.0,62719.0,771.7,543.2
01077,"Lauderdale County, AL",2496.0,423780.0,589.0,434.6
01079,"Lawrence County, AL",1141.0,153443.0,743.6,549.7
01081,"Lee County, AL",2890.0,771288.0,374.7,364.5
01083,"Limestone County, AL",2087.0,446367.0,467.6,374.0
01085,"Lowndes County, AL",406.0,46594.0,871.4,690.0
01087,"Macon County, AL",699.0,86150.0,811.4,610.6
01089,"Madison County, AL",7841.0,1697544.0,461.9,383.6
01091,"Marengo County, AL",678.0,88603.0,765.2,580.7
01093,"Marion County, AL",1067.0,135693.0,786.3,547.1
01095,"Marshall County, AL",2924.0,444734.0,657.5,515.3
01097,"Mobile County, AL",11902.0,1939716.0,613.6,497.0
01099,"Monroe County, AL",675.0,97314.0,693.6,529.2
01101,"Montgomery County, AL",5569.0,1063498.0,523.6,448.4
01103,"Morgan County, AL",3319.0,553880.0,599.2,461.9
01105,"Perry County, AL",334.0,42510.0,785.7,639.8
01107,"Pickens County, AL",574.0,93119.0,616.4,458.0
01109,"Pike County, AL",868.0,155715.0,557.4,510.8
01111,"Randolph County, AL",773.0,103726.0,745.2,531.1
01113,"Russell County, AL",1824.0,274595.0,664.3,567.7
01115,"St. Clair County, AL",2506.0,413645.0,605.8,466.5
01117,"Shelby County, AL",3648.0,1006319.0,362.5,296.4
01119,"Sumter County, AL",425.0,58821.0,722.5,631.0
01121,"Talladega County, AL",2825.0,373219.0,756.9,571.0
01123,"Tallapoosa County, AL",1314.0,185926.0,706.7,488.8
01125,"Tuscaloosa County, AL",4566.0,983838.0,464.1,429.2
01127,"Walker County, AL",2789.0,296622.0,940.3,703.9
01129,"Washington County, AL",533.0,76611.0,695.7,521.4
01131,"Wilcox County, AL",423.0,49500.0,854.5,669.2
01133,"Winston County, AL",821.0,108190.0,758.9,513.5
02013,"Aleutians East Borough, AK",26.0,16390.0,158.6,142.7
02016,"Aleutians West Census Area, AK",62.0,28161.0,220.2,218.1
02020,"Anchorage Borough, AK",5323.0,1418043.0,375.4,353.6
02050,"Bethel Census Area, AK",422.0,88442.0,477.1,533.6
02060,"Bristol Bay Borough, AK",32.0,4163.0,768.7,671.0
02068,"Denali Borough, AK",32.0,9837.0,325.3,272.9
02070,"Dillingham Census Area, AK",126.0,24023.0,524.5,547.6
02090,"Fairbanks North Star Borough, AK",1553.0,481229.0,322.7,319.6
02100,"Haines Borough, AK",35.0,11802.0,296.6,190.1
02105,"Hoonah-Angoon Census Area, AK",45.0,9923.0,453.5,322.5
02110,"Juneau Borough, AK",584.0,155128.0,376.5,318.6
02122,"Kenai Peninsula Borough, AK",1348.0,276871.0,486.9,360.6
02130,"Ketchikan Gateway Borough, AK",255.0,65619.0,388.6,299.6
02150,"Kodiak Island Borough, AK",195.0,65222.0,299.0,278.0
02164,"Lake and Peninsula Borough, AK",41.0,7664.0,535.0,539.7
02170,"Matanuska-Susitna Borough, AK",1898.0,509363.0,372.6,335.2
02180,"Nome Census Area, AK",250.0,48512.0,515.3,581.3
02185,"North Slope Borough, AK",201.0,47921.0,419.4,443.6
02188,"Northwest Arctic Borough, AK",195.0,37264.0,523.3,588.3
02195,"Petersburg Borough/Census Area, AK",65.0,15203.0,427.5,330.5
02198,"Prince of Wales-Hyder Census Area, AK",180.0,30410.0,591.9,467.1
02220,"Sitka Borough, AK",152.0,40940.0,371.3,290.6
02230,"Skagway Municipality, AK",13.0,5369.0,Unreliable,Unreliable
02240,"Southeast Fairbanks Census Area, AK",138.0,32868.0,419.9,347.0
02261,"Valdez-Cordova Census Area, AK",197.0,44789.0,439.8,349.8
02270,"Wade Hampton Census Area, AK",226.0,40243.0,561.6,676.3
02275,"Wrangell City and Borough, AK",53.0,11367.0,466.3,333.3
02282,"Yakutat Borough, AK",11.0,2803.0,Unreliable,Unreliable
02290,"Yukon-Koyukuk Census Area, AK",182.0,25614.0,710.5,637.0
04001,"Apache County, AZ",2179.0,338272.0,644.2,605.6
04003,"Cochise County, AZ",3022.0,570901.0,529.3,373.0
04005,"Coconino County, AZ",2475.0,675905.0,366.2,359.3
04007,"Gila County, AZ",1950.0,236447.0,824.7,563.9
04009,"Graham County, AZ",733.0,178734.0,410.1,387.7
04011,"Greenlee County, AZ",173.0,44941.0,384.9,360.1
04012,"La Paz County, AZ",811.0,82724.0,980.4,620.7
04013,"Maricopa County, AZ",71640.0,20268702.0,353.5,305.1
04015,"Mohave County, AZ",7943.0,908653.0,874.2,501.7
04017,"Navajo County, AZ",3002.0,510949.0,587.5,512.7
04019,"Pima County, AZ",21175.0,4706338.0,449.9,350.4
04021,"Pinal County, AZ",8196.0,1996279.0,410.6,313.3
04023,"Santa Cruz County, AZ",622.0,214734.0,289.7,234.7
04025,"Yavapai County, AZ",6057.0,1000829.0,605.2,349.6
04027,"Yuma County, AZ",3365.0,946858.0,355.4,308.2
05001,"Arkansas County, AR",587.0,82475.0,711.7,529.2
05003,"Ashley County, AR",667.0,93005.0,717.2,505.8
05005,"Baxter County, AR",1362.0,177369.0,767.9,447.7
05007,"Benton County, AR",4329.0,1253254.0,345.4,314.0
05009,"Boone County, AR",1028.0,170019.0,604.6,436.3
05011,"Bradley County, AR",347.0,49972.0,694.4,533.0
05013,"Calhoun County, AR",199.0,23712.0,839.2,567.0
05015,"Carroll County, AR",822.0,127582.0,644.3,443.1
05017,"Chicot County, AR",382.0,48126.0,793.7,601.7
05019,"Clark County, AR",528.0,103671.0,509.3,452.1
05021,"Clay County, AR",567.0,67150.0,844.4,593.0
05023,"Cleburne County, AR",841.0,110316.0,762.4,489.9
05025,"Cleveland County, AR",267.0,37260.0,716.6,508.8
05027,"Columbia County, AR",674.0,109244.0,617.0,511.0
05029,"Conway County, AR",664.0,95650.0,694.2,503.5
05031,"Craighead County, AR",2315.0,505500.0,458.0,421.6
05033,"Crawford County, AR",1669.0,292483.0,570.6,447.3
05035,"Crittenden County, AR",1524.0,229985.0,662.7,585.0
05037,"Cross County, AR",604.0,77830.0,776.1,585.4
05039,"Dallas County, AR",287.0,32977.0,870.3,582.5
05041,"Desha County, AR",424.0,53918.0,786.4,612.2
05043,"Drew County, AR",516.0,85235.0,605.4,508.9
05045,"Faulkner County, AR",2540.0,588898.0,431.3,409.6
05047,"Franklin County, AR",559.0,81244.0,688.1,533.3
05049,"Fulton County, AR",429.0,54215.0,791.3,509.7
05051,"Garland County, AR",3204.0,442293.0,724.4,499.9
05053,"Grant County, AR",500.0,84256.0,593.4,437.2
05055,"Greene County, AR",1325.0,209993.0,631.0,514.8
05057,"Hempstead County, AR",617.0,100661.0,612.9,475.9
05059,"Hot Spring County, AR",1110.0,155396.0,714.3,529.1
05061,"Howard County, AR",425.0,61490.0,691.2,537.7
05063,"Independence County, AR",984.0,172918.0,569.1,445.8
05065,"Izard County, AR",459.0,59888.0,766.4,495.5
05067,"Jackson County, AR",586.0,79049.0,741.3,559.0
05069,"Jefferson County, AR",2316.0,322236.0,718.7,572.3
05071,"Johnson County, AR",710.0,123181.0,576.4,468.4
05073,"Lafayette County, AR",243.0,30416.0,798.9,530.2
05075,"Lawrence County, AR",567.0,75447.0,751.5,553.1
05077,"Lee County, AR",324.0,42157.0,768.6,572.7
05079,"Lincoln County, AR",365.0,63135.0,578.1,483.7
05081,"Little River County, AR",434.0,56633.0,766.3,533.6
05083,"Logan County, AR",695.0,99225.0,700.4,503.9
05085,"Lonoke County, AR",1860.0,344541.0,539.8,476.2
05087,"Madison County, AR",483.0,75082.0,643.3,479.9
05089,"Marion County, AR",649.0,73339.0,884.9,498.3
05091,"Miller County, AR",1411.0,203609.0,693.0,556.2
05093,"Mississippi County, AR",1568.0,198258.0,790.9,675.1
05095,"Monroe County, AR",328.0,31672.0,1035.6,713.9
05097,"Montgomery County, AR",293.0,39350.0,744.6,433.9
05099,"Nevada County, AR",297.0,38088.0,779.8,540.2
05101,"Newton County, AR",236.0,35169.0,671.0,420.2
05103,"Ouachita County, AR",903.0,109188.0,827.0,573.9
05105,"Perry County, AR",317.0,47350.0,669.5,472.6
05107,"Phillips County, AR",695.0,85905.0,809.0,658.0
05109,"Pike County, AR",323.0,49229.0,656.1,448.4
05111,"Poinsett County, AR",955.0,110854.0,861.5,664.9
05113,"Polk County, AR",637.0,90957.0,700.3,466.8
05115,"Pope County, AR",1476.0,298383.0,494.7,419.5
05117,"Prairie County, AR",260.0,36497.0,712.4,465.5
05119,"Pulaski County, AR",9699.0,1846316.0,525.3,440.8
05121,"Randolph County, AR",583.0,80390.0,725.2,548.8
05123,"St. Francis County, AR",777.0,121321.0,640.4,514.9
