county_fips,state,state_name,county_name_places,places_total_population_2020,uninsured_rate,smoking_rate,obesity_rate,physical_inactivity_rate,diabetes_rate,high_blood_pressure_rate,poor_physical_health_rate,poor_mental_health_rate,insufficient_sleep_rate,copd_rate,coronary_heart_disease_rate,stroke_rate
01001,AL,Alabama,Autauga,55601,14.3,19.8,35.5,26.4,11.3,36.6,13.3,15.8,38.4,7.7,6.9,3.4
01003,AL,Alabama,Baldwin,218022,13.6,18.5,29.4,23.5,9.5,33.1,11.6,14.8,36.4,7.1,6.0,3.0
01005,AL,Alabama,Barbour,24881,21.8,25.5,40.8,36.8,16.9,45.8,18.1,19.0,40.9,10.5,9.0,5.1
01007,AL,Alabama,Bibb,22400,17.3,23.1,38.4,31.2,12.6,40.8,15.1,17.1,40.1,9.1,7.6,3.8
01009,AL,Alabama,Blount,57840,17.0,23.0,33.7,30.1,11.3,37.3,14.8,17.1,38.8,9.0,7.5,3.5
01011,AL,Alabama,Bullock,10138,22.7,24.9,45.6,38.1,18.5,47.7,17.9,18.2,44.7,9.9,8.8,5.5
01013,AL,Alabama,Butler,19680,18.6,22.8,41.4,35.6,15.3,44.4,16.9,18.5,42.0,9.6,8.0,4.6
01015,AL,Alabama,Calhoun,114277,15.9,21.2,41.0,29.3,12.7,38.6,15.2,17.8,38.3,9.0,7.6,3.8
01017,AL,Alabama,Chambers,33615,17.8,23.2,39.1,32.7,14.4,42.5,15.8,17.6,40.5,9.1,7.8,4.3
01019,AL,Alabama,Cherokee,26032,16.3,23.6,38.7,30.9,12.0,36.4,15.6,18.1,37.9,9.7,7.9,3.7
01021,AL,Alabama,Chilton,44153,18.2,23.4,40.1,33.0,13.0,39.1,15.7,17.8,38.7,9.6,8.0,3.8
01023,AL,Alabama,Choctaw,12841,18.2,23.3,42.7,34.0,14.6,43.5,16.3,18.3,41.7,9.5,7.9,4.5
01025,AL,Alabama,Clarke,23920,19.1,24.3,40.7,35.8,15.6,43.5,17.0,18.5,42.7,9.7,8.3,4.6
01027,AL,Alabama,Clay,13275,17.7,25.2,35.9,32.5,13.0,39.7,16.4,18.7,38.9,10.1,8.0,4.0
