county_fips,county,state,premature_deaths_2015_2019,population_2015_2019,premature_mortality_crude_rate_2015_2019,crude_rate_unreliable_2015_2019,premature_mortality_age_adjusted_rate_2015_2019,age_adjusted_rate_unreliable_2015_2019,county_fips_original,state_places,state_name,county_name_places,places_total_population_2020,uninsured_rate,smoking_rate,obesity_rate,physical_inactivity_rate,diabetes_rate,high_blood_pressure_rate,poor_physical_health_rate,poor_mental_health_rate,insufficient_sleep_rate,copd_rate,coronary_heart_disease_rate,stroke_rate,county_name_acs,acs_total_population_2019,median_household_income,poverty_rate,bachelor_plus_rate,unemployment_rate
01001,"Autauga County, AL",AL,1333.0,259938.0,512.8,False,423.1,False,01001,AL,Alabama,Autauga,55601,14.3,19.8,35.5,26.4,11.3,36.6,13.3,15.8,38.4,7.7,6.9,3.4,"Autauga County, Alabama",55380,58731.0,15.1851716980445,26.571573848582975,3.676643884044308
01003,"Baldwin County, AL",AL,4996.0,981133.0,509.2,False,358.9,False,01003,AL,Alabama,Baldwin,218022,13.6,18.5,29.4,23.5,9.5,33.1,11.6,14.8,36.4,7.1,6.0,3.0,"Baldwin County, Alabama",212830,58320.0,10.354072646433035,31.862459632590394,4.255062073965182
01005,"Barbour County, AL",AL,788.0,117839.0,668.7,False,500.5,False,01005,AL,Alabama,Barbour,24881,21.8,25.5,40.8,36.8,16.9,45.8,18.1,19.0,40.9,10.5,9.0,5.1,"Barbour County, Alabama",25361,32525.0,30.66868894142838,11.578712981518592,9.1664867199309
01007,"Bibb County, AL",AL,752.0,105384.0,713.6,False,567.6,False,01007,AL,Alabama,Bibb,22400,17.3,23.1,38.4,31.2,12.6,40.8,15.1,17.1,40.1,9.1,7.6,3.8,"Bibb County, Alabama",22493,47542.0,18.127181077937184,10.378525482434435,7.284987839929251
01009,"Blount County, AL",AL,1764.0,268003.0,658.2,False,501.6,False,01009,AL,Alabama,Blount,57840,17.0,23.0,33.7,30.1,11.3,37.3,14.8,17.1,38.8,9.0,7.5,3.5,"Blount County, Alabama",57681,49358.0,13.551516425019262,13.093413083360558,3.364197530864198
01011,"Bullock County, AL",AL,327.0,48078.0,680.1,False,545.2,False,01011,AL,Alabama,Bullock,10138,22.7,24.9,45.6,38.1,18.5,47.7,17.9,18.2,44.7,9.9,8.8,5.5,"Bullock County, Alabama",10248,37785.0,28.873671300081767,12.05464019152232,3.872690852437125
01013,"Butler County, AL",AL,673.0,90333.0,745.0,False,580.2,False,01013,AL,Alabama,Butler,19680,18.6,22.8,41.4,35.6,15.3,44.4,16.9,18.5,42.0,9.6,8.0,4.6,"Butler County, Alabama",19828,40688.0,22.502558853633573,16.137202402489326,6.804559877776473
01015,"Calhoun County, AL",AL,3881.0,532870.0,728.3,False,564.0,False,01015,AL,Alabama,Calhoun,114277,15.9,21.2,41.0,29.3,12.7,38.6,15.2,17.8,38.3,9.0,7.6,3.8,"Calhoun County, Alabama",114618,47255.0,17.90267343242904,18.48106386206199,8.07968372164434
01017,"Chambers County, AL",AL,1106.0,155113.0,713.0,False,514.7,False,01017,AL,Alabama,Chambers,33615,17.8,23.2,39.1,32.7,14.4,42.5,15.8,17.6,40.5,9.1,7.8,4.3,"Chambers County, Alabama",33660,42289.0,17.252212790381535,13.296061204758502,3.9387873700523017
01019,"Cherokee County, AL",AL,961.0,118250.0,812.7,False,539.0,False,01019,AL,Alabama,Cherokee,26032,16.3,23.6,38.7,30.9,12.0,36.4,15.6,18.1,37.9,9.7,7.9,3.7,"Cherokee County, Alabama",25903,41919.0,13.922021039458762,12.75299353608138,4.433591879728048
01021,"Chilton County, AL",AL,1377.0,206199.0,667.8,False,522.5,False,01021,AL,Alabama,Chilton,44153,18.2,23.4,40.1,33.0,13.0,39.1,15.7,17.8,38.7,9.6,8.0,3.8,"Chilton County, Alabama",44055,47468.0,19.115818558600044,12.723823470678294,6.408202499198974
01023,"Choctaw County, AL",AL,447.0,58316.0,766.5,False,525.5,False,01023,AL,Alabama,Choctaw,12841,18.2,23.3,42.7,34.0,14.6,43.5,16.3,18.3,41.7,9.5,7.9,4.5,"Choctaw County, Alabama",12925,35892.0,23.348017621145377,11.93053917890449,7.901125579342308
01025,"Clarke County, AL",AL,728.0,110220.0,660.5,False,491.0,False,01025,AL,Alabama,Clarke,23920,19.1,24.3,40.7,35.8,15.6,43.5,17.0,18.5,42.7,9.7,8.3,4.6,"Clarke County, Alabama",24128,37404.0,23.209751142712037,12.224209898628503,12.203389830508476
01027,"Clay County, AL",AL,452.0,60937.0,741.7,False,520.3,False,01027,AL,Alabama,Clay,13275,17.7,25.2,35.9,32.5,13.0,39.7,16.4,18.7,38.9,10.1,8.0,4.0,"Clay County, Alabama",13337,40845.0,17.947735458655835,10.561370123691722,5.408180729077529
01029,"Cleburne County, AL",AL,532.0,68813.0,773.1,False,560.3,False,01029,AL,Alabama,Cleburne,14987,16.6,24.1,36.7,30.4,11.6,36.5,15.5,18.2,38.2,9.8,7.8,3.7,"Cleburne County, Alabama",14916,44741.0,17.283529090412454,15.41837610914989,5.949241924851681
01031,"Coffee County, AL",AL,1294.0,240800.0,537.4,False,422.1,False,01031,AL,Alabama,Coffee,51909,15.1,21.4,35.8,29.8,12.2,37.7,13.8,15.9,37.4,8.0,6.9,3.4,"Coffee County, Alabama",51662,55637.0,15.069354395064638,22.792055081744255,5.739856288455746
01033,"Colbert County, AL",AL,1756.0,249993.0,702.4,False,509.8,False,01033,AL,Alabama,Colbert,54762,15.6,22.0,37.9,29.7,12.1,38.6,14.4,17.0,39.8,8.8,7.4,3.6,"Colbert County, Alabama",54771,48065.0,15.466007963427222,18.14728304114582,4.352561685727451
01035,"Conecuh County, AL",AL,478.0,56075.0,852.4,False,575.3,False,01035,AL,Alabama,Conecuh,12277,20.3,25.8,43.4,38.6,16.0,45.8,17.5,19.2,43.9,10.3,8.5,4.9,"Conecuh County, Alabama",12394,37837.0,17.59342180249125,12.77029321861202,9.242976624490671
01037,"Coosa County, AL",AL,379.0,48785.0,776.9,False,519.4,False,01037,AL,Alabama,Coosa,10715,18.1,24.6,40.6,33.2,14.0,41.4,16.1,17.9,41.2,9.5,8.0,4.2,"Coosa County, Alabama",10757,38990.0,13.512991403457937,12.822375590265164,2.8663892741562647
01039,"Covington County, AL",AL,1297.0,169257.0,766.3,False,546.6,False,01039,AL,Alabama,Covington,36986,15.8,23.4,37.6,31.4,12.4,36.7,15.4,17.5,37.7,9.1,7.7,3.7,"Covington County, Alabama",37200,42189.0,18.586992406734897,15.271235374563137,8.35909484357611
01041,"Crenshaw County, AL",AL,475.0,64209.0,739.8,False,519.1,False,01041,AL,Alabama,Crenshaw,13824,17.4,23.1,36.4,31.7,13.3,39.8,15.8,18.2,38.6,9.4,7.8,4.0,"Crenshaw County, Alabama",13844,43163.0,15.158188357924098,17.40970072239422,3.424774237519169
01043,"Cullman County, AL",AL,2522.0,383392.0,657.8,False,495.8,False,01043,AL,Alabama,Cullman,83442,16.3,22.6,33.1,30.9,11.4,34.5,15.2,17.4,36.5,9.4,7.5,3.5,"Cullman County, Alabama",82853,44918.0,14.869419218843827,13.865502546512836,5.088317666306186
01045,"Dale County, AL",AL,1404.0,229133.0,612.7,False,486.3,False,01045,AL,Alabama,Dale,48956,16.3,21.5,43.6,30.2,12.7,37.8,14.8,16.9,40.8,8.6,7.4,3.7,"Dale County, Alabama",49277,47214.0,17.645949852322,18.138410576263094,7.977907333537895
01047,"Dallas County, AL",AL,1461.0,182086.0,802.4,False,631.7,False,01047,AL,Alabama,Dallas,38310,20.2,24.9,42.4,39.6,17.8,47.2,17.6,19.0,44.0,9.8,8.6,5.4,"Dallas County, Alabama",39149,33845.0,29.066569812691327,14.709923664122137,11.048422096844194
01049,"DeKalb County, AL",AL,2164.0,332778.0,650.3,False,512.8,False,01049,AL,Alabama,DeKalb,71385,20.4,25.1,35.2,33.5,13.3,38.4,17.5,19.4,38.8,10.9,8.7,4.1,"DeKalb County, Alabama",71310,40440.0,21.083078672446874,13.015211502396332,3.9503532309287706
01051,"Elmore County, AL",AL,1998.0,384537.0,519.6,False,420.8,False,01051,AL,Alabama,Elmore,81887,14.4,19.3,35.1,27.5,11.4,36.9,12.8,15.6,38.8,7.7,6.8,3.3,"Elmore County, Alabama",81144,60891.0,11.508801231780993,25.06551619631683,4.610404108059835
01053,"Escambia County, AL",AL,1311.0,172575.0,759.7,False,586.6,False,01053,AL,Alabama,Escambia,36748,18.8,25.4,37.6,33.9,14.9,41.4,17.2,18.6,42.9,10.0,8.5,4.5,"Escambia County, Alabama",37057,36275.0,22.150840447065036,12.467612823388375,10.99199443090846
01055,"Etowah County, AL",AL,3618.0,474866.0,761.9,False,560.7,False,01055,AL,Alabama,Etowah,102501,16.1,23.1,36.9,31.0,12.6,39.3,15.0,17.5,38.8,9.1,7.7,3.7,"Etowah County, Alabama",102748,44637.0,17.390918240483096,17.79070413149711,5.535006312432169
01057,"Fayette County, AL",AL,567.0,75240.0,753.6,False,523.2,False,01057,AL,Alabama,Fayette,16433,16.7,24.3,34.8,32.6,12.3,37.9,16.0,18.3,39.8,9.7,8.0,3.9,"Fayette County, Alabama",16494,39856.0,19.44135459152144,12.395352810524516,6.340526160212828
01059,"Franklin County, AL",AL,917.0,146421.0,626.3,False,508.6,False,01059,AL,Alabama,Franklin,31363,20.3,22.7,35.9,32.6,12.8,39.5,16.4,17.8,38.8,9.8,8.1,3.8,"Franklin County, Alabama",31466,43514.0,19.410605228293537,13.985374771480805,4.7548401453898075
01061,"Geneva County, AL",AL,905.0,121267.0,746.3,False,534.5,False,01061,AL,Alabama,Geneva,26314,17.9,25.2,42.7,34.9,13.3,39.2,17.2,19.0,38.0,10.3,8.4,4.1,"Geneva County, Alabama",26417,41732.0,22.010577954928713,12.491961414790998,5.412110631259763
01063,"Greene County, AL",AL,296.0,37863.0,781.8,False,579.6,False,01063,AL,Alabama,Greene,8233,23.4,26.8,46.0,39.3,20.4,50.2,20.0,20.2,47.8,10.9,9.2,6.3,"Greene County, Alabama",8324,24145.0,38.0975491385586,10.115656827205248,11.488732914665682
