county_fips,county,state,premature_deaths_2015_2019,population_2015_2019,premature_mortality_crude_rate_2015_2019,crude_rate_unreliable_2015_2019,premature_mortality_age_adjusted_rate_2015_2019,age_adjusted_rate_unreliable_2015_2019,county_fips_original,state_places,state_name,county_name_places,places_total_population_2020,uninsured_rate,smoking_rate,obesity_rate,physical_inactivity_rate,diabetes_rate,high_blood_pressure_rate,poor_physical_health_rate,poor_mental_health_rate,insufficient_sleep_rate,copd_rate,coronary_heart_disease_rate,stroke_rate
01001,"Autauga County, AL",AL,1333.0,259938.0,512.8,False,423.1,False,01001,AL,Alabama,Autauga,55601,14.3,19.8,35.5,26.4,11.3,36.6,13.3,15.8,38.4,7.7,6.9,3.4
01003,"Baldwin County, AL",AL,4996.0,981133.0,509.2,False,358.9,False,01003,AL,Alabama,Baldwin,218022,13.6,18.5,29.4,23.5,9.5,33.1,11.6,14.8,36.4,7.1,6.0,3.0
01005,"Barbour County, AL",AL,788.0,117839.0,668.7,False,500.5,False,01005,AL,Alabama,Barbour,24881,21.8,25.5,40.8,36.8,16.9,45.8,18.1,19.0,40.9,10.5,9.0,5.1
01007,"Bibb County, AL",AL,752.0,105384.0,713.6,False,567.6,False,01007,AL,Alabama,Bibb,22400,17.3,23.1,38.4,31.2,12.6,40.8,15.1,17.1,40.1,9.1,7.6,3.8
01009,"Blount County, AL",AL,1764.0,268003.0,658.2,False,501.6,False,01009,AL,Alabama,Blount,57840,17.0,23.0,33.7,30.1,11.3,37.3,14.8,17.1,38.8,9.0,7.5,3.5
01011,"Bullock County, AL",AL,327.0,48078.0,680.1,False,545.2,False,01011,AL,Alabama,Bullock,10138,22.7,24.9,45.6,38.1,18.5,47.7,17.9,18.2,44.7,9.9,8.8,5.5
01013,"Butler County, AL",AL,673.0,90333.0,745.0,False,580.2,False,01013,AL,Alabama,Butler,19680,18.6,22.8,41.4,35.6,15.3,44.4,16.9,18.5,42.0,9.6,8.0,4.6
01015,"Calhoun County, AL",AL,3881.0,532870.0,728.3,False,564.0,False,01015,AL,Alabama,Calhoun,114277,15.9,21.2,41.0,29.3,12.7,38.6,15.2,17.8,38.3,9.0,7.6,3.8
01017,"Chambers County, AL",AL,1106.0,155113.0,713.0,False,514.7,False,01017,AL,Alabama,Chambers,33615,17.8,23.2,39.1,32.7,14.4,42.5,15.8,17.6,40.5,9.1,7.8,4.3
01019,"Cherokee County, AL",AL,961.0,118250.0,812.7,False,539.0,False,01019,AL,Alabama,Cherokee,26032,16.3,23.6,38.7,30.9,12.0,36.4,15.6,18.1,37.9,9.7,7.9,3.7
01021,"Chilton County, AL",AL,1377.0,206199.0,667.8,False,522.5,False,01021,AL,Alabama,Chilton,44153,18.2,23.4,40.1,33.0,13.0,39.1,15.7,17.8,38.7,9.6,8.0,3.8
01023,"Choctaw County, AL",AL,447.0,58316.0,766.5,False,525.5,False,01023,AL,Alabama,Choctaw,12841,18.2,23.3,42.7,34.0,14.6,43.5,16.3,18.3,41.7,9.5,7.9,4.5
01025,"Clarke County, AL",AL,728.0,110220.0,660.5,False,491.0,False,01025,AL,Alabama,Clarke,23920,19.1,24.3,40.7,35.8,15.6,43.5,17.0,18.5,42.7,9.7,8.3,4.6
01027,"Clay County, AL",AL,452.0,60937.0,741.7,False,520.3,False,01027,AL,Alabama,Clay,13275,17.7,25.2,35.9,32.5,13.0,39.7,16.4,18.7,38.9,10.1,8.0,4.0
01029,"Cleburne County, AL",AL,532.0,68813.0,773.1,False,560.3,False,01029,AL,Alabama,Cleburne,14987,16.6,24.1,36.7,30.4,11.6,36.5,15.5,18.2,38.2,9.8,7.8,3.7
01031,"Coffee County, AL",AL,1294.0,240800.0,537.4,False,422.1,False,01031,AL,Alabama,Coffee,51909,15.1,21.4,35.8,29.8,12.2,37.7,13.8,15.9,37.4,8.0,6.9,3.4
01033,"Colbert County, AL",AL,1756.0,249993.0,702.4,False,509.8,False,01033,AL,Alabama,Colbert,54762,15.6,22.0,37.9,29.7,12.1,38.6,14.4,17.0,39.8,8.8,7.4,3.6
01035,"Conecuh County, AL",AL,478.0,56075.0,852.4,False,575.3,False,01035,AL,Alabama,Conecuh,12277,20.3,25.8,43.4,38.6,16.0,45.8,17.5,19.2,43.9,10.3,8.5,4.9
01037,"Coosa County, AL",AL,379.0,48785.0,776.9,False,519.4,False,01037,AL,Alabama,Coosa,10715,18.1,24.6,40.6,33.2,14.0,41.4,16.1,17.9,41.2,9.5,8.0,4.2
01039,"Covington County, AL",AL,1297.0,169257.0,766.3,False,546.6,False,01039,AL,Alabama,Covington,36986,15.8,23.4,37.6,31.4,12.4,36.7,15.4,17.5,37.7,9.1,7.7,3.7
01041,"Crenshaw County, AL",AL,475.0,64209.0,739.8,False,519.1,False,01041,AL,Alabama,Crenshaw,13824,17.4,23.1,36.4,31.7,13.3,39.8,15.8,18.2,38.6,9.4,7.8,4.0
01043,"Cullman County, AL",AL,2522.0,383392.0,657.8,False,495.8,False,01043,AL,Alabama,Cullman,83442,16.3,22.6,33.1,30.9,11.4,34.5,15.2,17.4,36.5,9.4,7.5,3.5
01045,"Dale County, AL",AL,1404.0,229133.0,612.7,False,486.3,False,01045,AL,Alabama,Dale,48956,16.3,21.5,43.6,30.2,12.7,37.8,14.8,16.9,40.8,8.6,7.4,3.7
01047,"Dallas County, AL",AL,1461.0,182086.0,802.4,False,631.7,False,01047,AL,Alabama,Dallas,38310,20.2,24.9,42.4,39.6,17.8,47.2,17.6,19.0,44.0,9.8,8.6,5.4
01049,"DeKalb County, AL",AL,2164.0,332778.0,650.3,False,512.8,False,01049,AL,Alabama,DeKalb,71385,20.4,25.1,35.2,33.5,13.3,38.4,17.5,19.4,38.8,10.9,8.7,4.1
01051,"Elmore County, AL",AL,1998.0,384537.0,519.6,False,420.8,False,01051,AL,Alabama,Elmore,81887,14.4,19.3,35.1,27.5,11.4,36.9,12.8,15.6,38.8,7.7,6.8,3.3
01053,"Escambia County, AL",AL,1311.0,172575.0,759.7,False,586.6,False,01053,AL,Alabama,Escambia,36748,18.8,25.4,37.6,33.9,14.9,41.4,17.2,18.6,42.9,10.0,8.5,4.5
01055,"Etowah County, AL",AL,3618.0,474866.0,761.9,False,560.7,False,01055,AL,Alabama,Etowah,102501,16.1,23.1,36.9,31.0,12.6,39.3,15.0,17.5,38.8,9.1,7.7,3.7
01057,"Fayette County, AL",AL,567.0,75240.0,753.6,False,523.2,False,01057,AL,Alabama,Fayette,16433,16.7,24.3,34.8,32.6,12.3,37.9,16.0,18.3,39.8,9.7,8.0,3.9
01059,"Franklin County, AL",AL,917.0,146421.0,626.3,False,508.6,False,01059,AL,Alabama,Franklin,31363,20.3,22.7,35.9,32.6,12.8,39.5,16.4,17.8,38.8,9.8,8.1,3.8
01061,"Geneva County, AL",AL,905.0,121267.0,746.3,False,534.5,False,01061,AL,Alabama,Geneva,26314,17.9,25.2,42.7,34.9,13.3,39.2,17.2,19.0,38.0,10.3,8.4,4.1
01063,"Greene County, AL",AL,296.0,37863.0,781.8,False,579.6,False,01063,AL,Alabama,Greene,8233,23.4,26.8,46.0,39.3,20.4,50.2,20.0,20.2,47.8,10.9,9.2,6.3
01065,"Hale County, AL",AL,511.0,68306.0,748.1,False,570.4,False,01065,AL,Alabama,Hale,14726,19.2,24.0,45.9,36.8,16.7,46.1,17.3,18.6,43.3,9.7,8.3,5.0
01067,"Henry County, AL",AL,554.0,78514.0,705.6,False,466.7,False,01067,AL,Alabama,Henry,17209,16.9,23.1,35.8,30.7,12.9,40.0,15.1,17.4,39.7,8.9,7.4,3.9
01069,"Houston County, AL",AL,2677.0,485547.0,551.3,False,430.7,False,01069,AL,Alabama,Houston,104722,16.2,22.4,34.8,31.9,13.8,38.1,15.1,17.3,39.8,8.7,7.6,3.8
01071,"Jackson County, AL",AL,1901.0,239178.0,794.8,False,553.2,False,01071,AL,Alabama,Jackson,51736,16.8,23.9,36.5,33.3,12.3,37.5,16.8,18.8,39.6,10.2,8.4,3.9
01073,"Jefferson County, AL",AL,18519.0,3084382.0,600.4,False,497.6,False,01073,AL,Alabama,Jefferson,659300,14.5,18.5,34.6,27.5,12.2,38.3,13.3,15.1,39.7,7.4,6.8,3.7
01075,"Lamar County, AL",AL,484.0,62719.0,771.7,False,543.2,False,01075,AL,Alabama,Lamar,13844,16.8,24.4,36.2,31.1,13.1,39.1,16.3,18.7,38.8,10.1,8.2,4.0
01077,"Lauderdale County, AL",AL,2496.0,423780.0,589.0,False,434.6,False,01077,AL,Alabama,Lauderdale,92387,14.4,20.0,35.1,27.5,11.1,35.6,13.8,16.4,38.5,8.2,6.9,3.3
01079,"Lawrence County, AL",AL,1141.0,153443.0,743.6,False,549.7,False,01079,AL,Alabama,Lawrence,32957,16.9,24.2,35.5,29.9,12.5,39.0,15.9,18.4,38.5,9.7,7.8,3.9
01081,"Lee County, AL",AL,2890.0,771288.0,374.7,False,364.5,False,01081,AL,Alabama,Lee,163941,13.8,19.3,33.8,26.2,12.1,37.0,13.6,15.8,38.9,7.6,7.0,3.5
01083,"Limestone County, AL",AL,2087.0,446367.0,467.6,False,374.0,False,01083,AL,Alabama,Limestone,96174,14.9,20.3,32.8,27.6,11.5,37.8,13.6,15.8,38.7,8.0,6.9,3.3
01085,"Lowndes County, AL",AL,406.0,46594.0,871.4,False,690.0,False,01085,AL,Alabama,Lowndes,9974,21.3,26.3,45.8,37.1,18.5,49.3,18.5,19.3,46.4,10.2,8.7,5.6
01087,"Macon County, AL",AL,699.0,86150.0,811.4,False,610.6,False,01087,AL,Alabama,Macon,18439,18.6,22.5,48.1,35.4,17.7,49.3,16.5,17.7,44.5,8.8,7.9,5.3
01089,"Madison County, AL",AL,7841.0,1697544.0,461.9,False,383.6,False,01089,AL,Alabama,Madison,366519,12.8,17.1,33.1,25.6,11.0,35.4,11.5,14.0,37.8,6.5,6.3,3.1
01091,"Marengo County, AL",AL,678.0,88603.0,765.2,False,580.7,False,01091,AL,Alabama,Marengo,19066,18.6,23.1,44.7,33.6,15.6,43.9,16.3,17.9,43.3,9.3,7.9,4.7
01093,"Marion County, AL",AL,1067.0,135693.0,786.3,False,547.1,False,01093,AL,Alabama,Marion,29763,16.5,24.2,34.9,31.5,11.9,39.1,16.0,18.4,38.4,9.9,8.0,3.8
01095,"Marshall County, AL",AL,2924.0,444734.0,657.5,False,515.3,False,01095,AL,Alabama,Marshall,96109,17.7,23.0,38.8,31.3,12.4,36.5,15.9,17.8,37.9,9.7,8.1,3.7
01097,"Mobile County, AL",AL,11902.0,1939716.0,613.6,False,497.0,False,01097,AL,Alabama,Mobile,413757,16.6,20.8,37.0,29.2,12.7,39.0,14.4,16.5,40.5,8.2,7.7,4.0
01099,"Monroe County, AL",AL,675.0,97314.0,693.6,False,529.2,False,01099,AL,Alabama,Monroe,21067,18.9,25.5,42.2,37.0,15.8,44.3,17.7,19.0,42.7,10.2,8.5,4.8
01101,"Montgomery County, AL",AL,5569.0,1063498.0,523.6,False,448.4,False,01101,AL,Alabama,Montgomery,225763,16.7,19.9,36.8,29.9,14.8,41.5,14.5,16.0,42.8,7.8,7.4,4.2
01103,"Morgan County, AL",AL,3319.0,553880.0,599.2,False,461.9,False,01103,AL,Alabama,Morgan,119089,16.3,20.8,37.2,27.3,11.6,37.5,13.9,16.5,36.4,8.4,7.2,3.5
01105,"Perry County, AL",AL,334.0,42510.0,785.7,False,639.8,False,01105,AL,Alabama,Perry,9140,22.6,27.3,46.3,40.8,20.3,49.3,20.5,20.6,45.0,11.5,9.7,6.2
01107,"Pickens County, AL",AL,574.0,93119.0,616.4,False,458.0,False,01107,AL,Alabama,Pickens,19938,19.5,23.6,41.9,34.2,15.2,42.4,16.6,18.0,41.8,9.6,8.2,4.5
