NAME,B01003_001E,B19013_001E,B17001_001E,B17001_002E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county
"Fayette County, Illinois",21565,46650,19855,3421,15303,1224,420,60,23,9285,525,17,051
"Logan County, Illinois",29003,57308,24979,2323,20373,2822,975,138,124,13164,738,17,107
"Saline County, Illinois",23994,44090,23435,4936,17113,2194,884,139,71,10718,816,17,165
"Lake County, Illinois",701473,89427,684107,54273,457676,121501,62289,15082,8568,371283,19357,17,097
"Massac County, Illinois",14219,47481,13918,2331,10021,1011,326,36,23,5895,259,17,127
"Cass County, Illinois",12493,52373,12331,1822,8503,921,316,31,16,6392,414,17,017
"Huntington County, Indiana",36359,53632,34942,3809,25019,3247,1487,210,78,19118,532,18,069
"White County, Indiana",24149,54576,23801,2198,16625,1789,745,117,69,11748,465,18,181
"Jay County, Indiana",20840,47658,20475,2887,13745,999,484,27,57,9992,376,18,075
"Shelby County, Indiana",44438,60404,43556,4903,30884,3910,1551,203,101,23047,820,18,145
"Sullivan County, Indiana",20730,50245,18405,2209,14914,1172,558,47,27,9031,440,18,153
"Tippecanoe County, Indiana",191553,53130,174497,32662,105826,22605,11913,1962,4504,101058,4129,18,157
"Hamilton County, Indiana",323117,98173,321126,14700,209983,78268,32084,8953,5249,177633,4891,18,057
"Bartholomew County, Indiana",82481,63431,81340,10859,55986,10923,6598,493,723,41919,1768,18,005
"Fulton County, Indiana",20096,52034,19688,2442,13842,1420,709,28,31,9744,414,18,049
"Noble County, Indiana",47506,56789,46413,3453,31520,3071,947,198,114,23900,943,18,113
"Clark County, Indiana",116507,55630,114572,11544,80741,11587,4164,707,641,61202,2984,18,019
"Hendricks County, Indiana",163799,81933,160276,8021,108921,26982,10482,1660,1195,89848,3239,18,063
"Grant County, Indiana",66452,44356,60861,10953,44057,4555,2518,418,397,31332,2250,18,053
"Jackson County, Indiana",44025,51250,42849,6268,29972,3320,1391,233,70,21633,939,18,071
"Owen County, Indiana",20835,49543,20489,3154,14959,1219,621,91,29,10238,555,18,119
"Whitley County, Indiana",33730,61741,33274,3213,23372,3320,1124,281,117,17848,644,18,183
"Clinton County, Indiana",32273,54286,31415,3916,21158,2318,954,140,41,15794,611,18,023
"Union County, Indiana",7113,50375,6953,513,5038,581,265,41,46,3445,50,18,161
"Dearborn County, Indiana",49479,68658,48744,4446,34269,5262,1984,306,279,25713,956,18,029
"Lawrence County, Indiana",45548,53610,44695,5549,32163,3120,1599,164,195,21872,958,18,093
"Perry County, Indiana",19102,52348,17325,2067,13615,1213,717,239,25,8635,263,18,123
