"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL","01001",1333,259938,512.8,423.1
,"Baldwin County, AL","01003",4996,981133,509.2,358.9
,"Barbour County, AL","01005",788,117839,668.7,500.5
,"Bibb County, AL","01007",752,105384,713.6,567.6
,"Blount County, AL","01009",1764,268003,658.2,501.6
,"Bullock County, AL","01011",327,48078,680.1,545.2
,"Butler County, AL","01013",673,90333,745.0,580.2
,"Calhoun County, AL","01015",3881,532870,728.3,564.0
,"Chambers County, AL","01017",1106,155113,713.0,514.7
,"Cherokee County, AL","01019",961,118250,812.7,539.0
,"Chilton County, AL","01021",1377,206199,667.8,522.5
,"Choctaw County, AL","01023",447,58316,766.5,525.5
,"Clarke County, AL","01025",728,110220,660.5,491.0
,"Clay County, AL","01027",452,60937,741.7,520.3
,"Cleburne County, AL","01029",532,68813,773.1,560.3
,"Coffee County, AL","01031",1294,240800,537.4,422.1
,"Colbert County, AL","01033",1756,249993,702.4,509.8
,"Conecuh County, AL","01035",478,56075,852.4,575.3
,"Coosa County, AL","01037",379,48785,776.9,519.4
,"Covington County, AL","01039",1297,169257,766.3,546.6
,"Crenshaw County, AL","01041",475,64209,739.8,519.1
,"Cullman County, AL","01043",2522,383392,657.8,495.8
,"Dale County, AL","01045",1404,229133,612.7,486.3
,"Dallas County, AL","01047",1461,182086,802.4,631.7
,"DeKalb County, AL","01049",2164,332778,650.3,512.8
,"Elmore County, AL","01051",1998,384537,519.6,420.8
,"Escambia County, AL","01053",1311,172575,759.7,586.6
,"Etowah County, AL","01055",3618,474866,761.9,560.7
,"Fayette County, AL","01057",567,75240,753.6,523.2
,"Franklin County, AL","01059",917,146421,626.3,508.6
,"Geneva County, AL","01061",905,121267,746.3,534.5
,"Greene County, AL","01063",296,37863,781.8,579.6
,"Hale County, AL","01065",511,68306,748.1,570.4
,"Henry County, AL","01067",554,78514,705.6,466.7
,"Houston County, AL","01069",2677,485547,551.3,430.7
,"Jackson County, AL","01071",1901,239178,794.8,553.2
,"Jefferson County, AL","01073",18519,3084382,600.4,497.6
,"Lamar County, AL","01075",484,62719,771.7,543.2
,"Lauderdale County, AL","01077",2496,423780,589.0,434.6
,"Lawrence County, AL","01079",1141,153443,743.6,549.7
,"Lee County, AL","01081",2890,771288,374.7,364.5
,"Limestone County, AL","01083",2087,446367,467.6,374.0
,"Lowndes County, AL","01085",406,46594,871.4,690.0
,"Macon County, AL","01087",699,86150,811.4,610.6
,"Madison County, AL","01089",7841,1697544,461.9,383.6
,"Marengo County, AL","01091",678,88603,765.2,580.7
,"Marion County, AL","01093",1067,135693,786.3,547.1
,"Marshall County, AL","01095",2924,444734,657.5,515.3
,"Mobile County, AL","01097",11902,1939716,613.6,497.0
,"Monroe County, AL","01099",675,97314,693.6,529.2
,"Montgomery County, AL","01101",5569,1063498,523.6,448.4
,"Morgan County, AL","01103",3319,553880,599.2,461.9
,"Perry County, AL","01105",334,42510,785.7,639.8
,"Pickens County, AL","01107",574,93119,616.4,458.0
,"Pike County, AL","01109",868,155715,557.4,510.8
,"Randolph County, AL","01111",773,103726,745.2,531.1
,"Russell County, AL","01113",1824,274595,664.3,567.7
,"St. Clair County, AL","01115",2506,413645,605.8,466.5
,"Shelby County, AL","01117",3648,1006319,362.5,296.4
,"Sumter County, AL","01119",425,58821,722.5,631.0
,"Talladega County, AL","01121",2825,373219,756.9,571.0
,"Tallapoosa County, AL","01123",1314,185926,706.7,488.8
,"Tuscaloosa County, AL","01125",4566,983838,464.1,429.2
,"Walker County, AL","01127",2789,296622,940.3,703.9
,"Washington County, AL","01129",533,76611,695.7,521.4
,"Wilcox County, AL","01131",423,49500,854.5,669.2
,"Winston County, AL","01133",821,108190,758.9,513.5
,"Aleutians East Borough, AK","02013",26,16390,158.6,142.7
,"Aleutians West Census Area, AK","02016",62,28161,220.2,218.1
,"Anchorage Borough, AK","02020",5323,1418043,375.4,353.6
